epoch,accuracy,loss,val_accuracy,val_loss
0,0.4777918756008148,0.6671830415725708,0.4598506987094879,0.6089202165603638
1,0.5957002639770508,0.5666056275367737,0.7735971212387085,0.47279462218284607
2,0.7890865206718445,0.46858447790145874,0.8588833808898926,0.3578585088253021
3,0.8500530123710632,0.36834296584129333,0.8622783422470093,0.2893766760826111
4,0.8544394373893738,0.2979426383972168,0.8753544092178345,0.2518244683742523
5,0.854316234588623,0.2970944344997406,0.868212103843689,0.28685975074768066
6,0.8576809167861938,0.28249391913414,0.8785829544067383,0.22463282942771912
7,0.8528343439102173,0.2838939130306244,0.83837890625,0.33932366967201233
8,0.8474969863891602,0.32860034704208374,0.8527040481567383,0.3067554235458374
9,0.8435841798782349,0.30135172605514526,0.8800890445709229,0.24362067878246307
10,0.8408905267715454,0.32960307598114014,0.875461220741272,0.24507836997509003
11,0.8420957326889038,0.3103397488594055,0.8624731302261353,0.2848123013973236
12,0.8642157316207886,0.26399582624435425,0.8784463405609131,0.2255924493074417
13,0.8652971386909485,0.24524343013763428,0.8452784419059753,0.31022199988365173
14,0.8824219703674316,0.22864487767219543,0.8758413195610046,0.2328956425189972
15,0.8781163096427917,0.22801931202411652,0.8827022314071655,0.2205616980791092
16,0.87190181016922,0.2429196834564209,0.861678421497345,0.2739739716053009
17,0.8730716705322266,0.23220422863960266,0.8854885697364807,0.21543607115745544
18,0.8729866147041321,0.22996823489665985,0.8820841312408447,0.2203231304883957
19,0.8674665689468384,0.23801067471504211,0.8852599859237671,0.21324294805526733
20,0.8768426179885864,0.23095104098320007,0.8740674257278442,0.24206382036209106
21,0.8718303442001343,0.2277386635541916,0.8796671032905579,0.22598019242286682
22,0.8726909756660461,0.24168865382671356,0.8857631683349609,0.2178397923707962
23,0.8785359263420105,0.2248428761959076,0.8858104944229126,0.21834327280521393
24,0.8785274624824524,0.2268720120191574,0.8860728740692139,0.2118232250213623
25,0.8823204040527344,0.22179488837718964,0.880961537361145,0.2248377650976181
26,0.8586576581001282,0.2658255100250244,0.8847250938415527,0.21952790021896362
27,0.865955650806427,0.25824427604675293,0.8864583969116211,0.22097358107566833
28,0.8757564425468445,0.22944054007530212,0.8754240274429321,0.2429443746805191
29,0.8857202529907227,0.21176819503307343,0.8860472440719604,0.21519242227077484
30,0.8817464113235474,0.21046218276023865,0.8821300864219666,0.22112101316452026
31,0.8859249353408813,0.20606689155101776,0.8836747407913208,0.2185230851173401
32,0.8708434104919434,0.24210533499717712,0.8834313154220581,0.2146453708410263
33,0.866679847240448,0.2469560205936432,0.8776382207870483,0.2403179556131363
34,0.8657276034355164,0.24910259246826172,0.8834563493728638,0.2213211953639984
35,0.8700715899467468,0.24476245045661926,0.8826332688331604,0.22673940658569336
36,0.869494616985321,0.23868727684020996,0.8860945105552673,0.2124474197626114
37,0.8797153234481812,0.2311795949935913,0.8802148699760437,0.23212787508964539
38,0.8619951009750366,0.2525969445705414,0.8857841491699219,0.21892592310905457
39,0.8636053204536438,0.25297072529792786,0.8850043416023254,0.22462302446365356
40,0.8817699551582336,0.2196025848388672,0.8861871957778931,0.2139674872159958
41,0.8814821243286133,0.21703359484672546,0.8752056360244751,0.25437411665916443
42,0.87689208984375,0.22621086239814758,0.8853005766868591,0.21662357449531555
43,0.8794071078300476,0.21486160159111023,0.8868194818496704,0.2154807448387146
